Year,Units,Value
2010,total_infected,116
2011,total_infected,119
2012,total_infected,108
2013,total_infected,120
2014,total_infected,113
2015,total_infected,80
2016,total_infected,87
2017,total_infected,72
2018,total_infected,84
2019,total_infected,82
2020,total_infected,40
2010,per_100000_population,18.72
2011,per_100000_population,19.19
2012,per_100000_population,17.41
2013,per_100000_population,19.35
2014,per_100000_population,18.22
2015,per_100000_population,12.9
2016,per_100000_population,14.03
2017,per_100000_population,11.61
2018,per_100000_population,13.54
2019,per_100000_population,13.22
2020,per_100000_population,6.45
