Year,Units,Category,Value
2010,total,branches_of_commercial_banks,85
2011,total,branches_of_commercial_banks,85
2012,total,branches_of_commercial_banks,88
2013,total,branches_of_commercial_banks,97
2014,total,branches_of_commercial_banks,119
2015,total,branches_of_commercial_banks,105
2016,total,branches_of_commercial_banks,110
2017,total,branches_of_commercial_banks,113
2018,total,branches_of_commercial_banks,111
2019,total,branches_of_commercial_banks,111
2020,total,branches_of_commercial_banks,106
2021,total,branches_of_commercial_banks,110
2022,total,branches_of_commercial_banks,104
2010,total,atms,321
2011,total,atms,332
2012,total,atms,350
2013,total,atms,361
2014,total,atms,359
2015,total,atms,386
2016,total,atms,396
2017,total,atms,412
2018,total,atms,443
2019,total,atms,413
2020,total,atms,416
2021,total,atms,419
2022,total,atms,413
2010,total,adults_15,498032
2011,total,adults_15,500653
2012,total,adults_15,502698
2013,total,adults_15,504320
2014,total,adults_15,505976
2015,total,adults_15,507095
2016,total,adults_15,508108
2017,total,adults_15,509085
2018,total,adults_15,509929
2019,total,adults_15,510429
2020,total,adults_15,510398
2021,total,adults_15,509572
2022,total,adults_15,509572
2010,per_100000_adults,branches_of_commercial_banks,17.07
2011,per_100000_adults,branches_of_commercial_banks,16.98
2012,per_100000_adults,branches_of_commercial_banks,17.51
2013,per_100000_adults,branches_of_commercial_banks,19.23
2014,per_100000_adults,branches_of_commercial_banks,23.52
2015,per_100000_adults,branches_of_commercial_banks,20.71
2016,per_100000_adults,branches_of_commercial_banks,21.65
2017,per_100000_adults,branches_of_commercial_banks,22.2
2018,per_100000_adults,branches_of_commercial_banks,21.77
2019,per_100000_adults,branches_of_commercial_banks,21.75
2020,per_100000_adults,branches_of_commercial_banks,20.77
2021,per_100000_adults,branches_of_commercial_banks,21.59
2022,per_100000_adults,branches_of_commercial_banks,20.41
2010,per_100000_adults,atms,64.45
2011,per_100000_adults,atms,66.31
2012,per_100000_adults,atms,69.62
2013,per_100000_adults,atms,71.58
2014,per_100000_adults,atms,70.95
2015,per_100000_adults,atms,76.12
2016,per_100000_adults,atms,77.94
2017,per_100000_adults,atms,80.93
2018,per_100000_adults,atms,86.87
2019,per_100000_adults,atms,80.91
2020,per_100000_adults,atms,81.51
2021,per_100000_adults,atms,82.23
2022,per_100000_adults,atms,81.05
